Treatment.Description,Inoculant,Genotype,N.dosages,V8.Plant.Biomass,V8.Plant.N.Concentration,V8.Plant.N.Content,VT.Plant.Moisture,VT.Plant.Biomass,VT.Plant.Biomass_kg,VT.Plant.N.Concentration,VT.Plant.N.Content_lb,VT.Plant.N.Content_kg,VT.Plant.N.Content_mg,Grain.Oil,Grain.Protein,Grain.N.concentration,Grain.Starch,Kernel.Weight..kg.kernel.,Kernel.Weight.mg.kernel.,NUE,Rep
Inbred: B73 N: 30 IF: Proven,Proven,B73,N:34,1141.3,2.74,31.22,0.846,4791.73,5370.810571,1.68,80.33,90.04993,90049.93,3.49,7.7,48.125,71.8,0.19086,190.86,4.718114325,5
Inbred: BNI NIL 1 N: 30 IF: None,None,NIL 1,N:34,1143.93,2.55,29.16,0.857,4457.62,4996.323377,1.66,73.93,82.87553,82875.53,2.85,9.1,56.875,72.1,0.19402,194.02,4.271494176,6
Inbred: BNI NIL 1 N: 30 IF: Proven,Proven,NIL 1,N:34,1157.11,2.71,31.41,0.849,4678.72,5244.143312,1.83,85.6,95.9576,95957.6,3.32,9.8,61.25,71.5,0.17116,171.16,5.606309885,1
Inbred: B73 N: 30 IF: None,None,B73,N:34,1280.99,2.62,33.53,0.851,4282.4,4799.92804,1.84,78.82,88.35722,88357.22,3.7,8.4,52.5,70.8,0.19959,199.59,4.426936219,2
Inbred: BNI NIL 2 N: 30 IF: None,None,NIL 2,N:34,1503.72,2.76,41.5,0.837,5488.44,6151.717974,1.59,87.44,98.02024,98020.24,3.74,8.1,50.625,70.6,0.18891,188.91,5.188726907,3
Inbred: BNI NIL 2 N: 30 IF: Proven,Proven,NIL 2,N:34,1431.23,2.51,35.97,0.818,6497.74,7282.991879,1.87,121.5,136.2015,136201.5,3.56,8.5,53.125,70.7,0.2023,202.3,6.73264953,4
Inbred: B73 N: 60 IF: Proven,Proven,B73,N:67,1282.31,2.5,32.11,0.848,3921.26,4395.144271,1.85,72.56,81.33976,81339.76,3.34,8.5,53.125,71.3,0.20588,205.88,3.950833495,5
Inbred: BNI NIL 1 N: 60 IF: None,None,NIL 1,N:67,1180.83,2.41,28.48,0.857,4099.51,4594.935784,1.62,66.32,74.34472,74344.72,3.11,9,56.25,71.1,0.18004,180.04,4.12934459,6
Inbred: BNI NIL 2 N: 60 IF: Proven,Proven,NIL 2,N:67,1428.6,2.95,42.18,0.83,5174.38,5799.703823,1.85,95.53,107.08913,107089.13,3.66,9.2,57.5,70.3,0.20056,200.56,5.339505884,1
Inbred: BNI NIL 2 N: 60 IF: None,None,NIL 2,N:67,1354.8,2.78,37.63,0.85,5348.63,5995.011936,1.54,82.15,92.09015,92090.15,3.81,9.4,58.75,70.9,0.19096,190.96,4.822483766,2
Inbred: B73 N: 60 IF: None,None,B73,N:67,1197.97,3.11,37.21,0.836,4797.76,5377.569296,1.54,73.94,82.88674,82886.74,3.52,8.3,51.875,71.7,0.18467,184.67,4.488370607,3
Inbred: BNI NIL 1 N: 60 IF: Proven,Proven,NIL 1,N:67,905.39,2.78,25.19,0.859,4059.21,4549.765529,2.01,81.62,91.49602,91496.02,3.43,10,62.5,69.8,0.18952,189.52,4.827776488,4
Inbred: B73 N: 30 IF: Proven,Proven,B73,N:34,1503.72,2.46,36.97,0.841,4770.42,5346.925257,1.7,81.08,90.89068,90890.68,3.54,8.2,51.25,72.2,0.18921,189.21,4.803693251,5
Inbred: B73 N: 30 IF: None,None,B73,N:34,1369.29,2.74,37.49,0.838,5116.94,5735.322199,1.54,78.64,88.15544,88155.44,3.86,7.9,49.375,71,0.17899,178.99,4.925160065,6
